given_name,family_name,date_of_birth,place_of_birth
John,Williams,1842-09-30,Dumfries
Grace,Jeffery,1899-06-14,Kelso
Sean,Molnar,1982-11-01,Dromore
Lily,Doyle,1883-04-02,Hamilton
Edith,Styles,1879-07-24,Ballymoney
John,Brown,1892-09-05,Kilmarnock
Jose,Barth,1942-08-13,Newtownards
Leonard,Beetham,1897-05-25,Enniskillen
Christopher,Cash,1977-09-23,Stirling
Amos,Rogerson,1914-09-12,Jedburgh
Susan,Helm,1955-04-03,Dromore
Philip,Venters,1958-05-31,Elgin
Margaret,Hyam,1945-05-26,Lerwick
Colin,Hutchinson,1946-04-14,Castle Douglas
Albert,Clements,1914-07-15,West Calder
Robert,Bentham,1863-02-03,Glasgow
Steven,Humphreys,1980-01-03,Dalbeattie
Sidney,Chandler,1884-04-14,Musselburgh
Josephine,Hetherington,1850-09-23,Port Glasgow
Edith,Hopkins,1878-06-25,Peebles
Elizabeth,Shaw,1878-11-03,Paisley
Mary,Mclaughlan,1883-04-15,Dufftown
Thirza,Jones,1925-07-01,Langholm
Ronald,Joynson,1950-04-18,Buckie
Sheila,Denton,1925-04-29,Stranraer
Mabel,Penney,1914-04-26,Selkirk
Nancy,Norman,1918-11-07,Lockerbie
Jonathan,Wallis,1970-08-30,Kirkcaldy
Mary,Ghillyer,1936-06-16,Thurso
George,Bennett,1870-05-01,Kelso
Gicomo,Ferrara,1960-05-03,Strabane
Frederic,Lewis,1892-12-29,Newtownards
William,Bottomley,1920-07-12,Haddington
Minnie,Allen,1910-07-26,Elgin
Susan,Ham,1950-10-28,Newtownards
Michael,Edwards,1948-07-24,Bellshill
Nicholas,Rother,1973-08-28,Brechin
John,O'doherty,1936-01-07,Hamilton
Ellen,Hawking,1872-08-23,Jedburgh
Shana,Bond,1974-01-08,Nairn
Philip,Barnes,1901-09-25,Golspie
Ada,Woodman,1867-12-07,Wick
John,Bradley,1850-02-17,Airdrie
Walter,Wood,1867-04-15,St Andrews
Sidney,Johnson,1903-02-23,Nairn
Anthony,Holmes,1968-03-30,Keith
Caroline,Mitchell,1860-06-29,Armagh
Nancy,Julien,1909-11-09,Kirkcaldy
Susan,Graham,1954-09-02,Stirling
Pauline,O'ven,1947-06-06,Linlithgow
William,Kingdon,1890-05-04,Milngavie
Jack,Stell,1897-02-03,Montrose
Rosina,Browning,1893-04-29,Musselburgh
Michael,Sparrow,1954-08-07,Dingwall
Alice,Peake,1915-10-28,Stonehaven
John,Blake,1891-07-04,Carrickfergus
Susan,Brazil,1956-06-03,Jedburgh
Thomas,Cain,1926-09-30,Stonehaven
Fanny,Drury,1880-06-28,Belfast
Anita,Sutton,1966-08-05,West Calder
Michelle,Dawes,1977-12-11,Grantown-on-Spey
Robert,Burke,1941-03-12,Milngavie
William,Yuille,1908-06-14,Stornoway
Brian,Bowron,1937-05-14,Lerwick
Jacob,Mountford,1875-11-07,Aberdeen
Thomas,Pope,1923-04-21,Kinross
Dorothy,Burkill,1948-03-01,Port Glasgow
Anthony,Hayes,1964-12-27,Wick
Giles,Lyon,1965-05-14,Falkirk
Gwilym,Evans,1935-09-04,Barrhead
Naomi,Appleyard,1981-05-11,Alloa
Florence,Portsmouth,1909-02-01,Banff
William,Phillips,1878-11-20,Forres
Louise,Rapson,1968-09-21,Dundee
Donald,Waring,1927-10-01,Dungannon
James,Alleyne,1983-08-23,Stornoway
William,Allsop,1879-06-29,Dalkeith
